radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
24.700897,0.73,-48.839928,0.43,17.372,0.221,1,17.858,0.275,1,NA,NA,0,18.497,0.306,1,17.691,0.308,1,NA,NA,0,NA,NA,0,NA,NA,0
24.700984,0.421,-49.317144,0.487,15.082,0.037,6,16.138,0.074,6,NA,NA,0,15.556,0.038,6,14.754,0.024,6,14.381,0.042,6,NA,NA,0,NA,NA,0
24.705143,0.434,-47.997415,0.291,NA,NA,0,NA,NA,0,NA,NA,0,17.971,0.053,6,16.708,0.064,6,16.196,0.162,6,NA,NA,0,NA,NA,0
24.705908,0.277,-48.995178,0.181,15.842,0.083,6,16.729,0.098,6,NA,NA,0,16.296,0.111,6,15.587,0.036,6,15.332,0.088,6,NA,NA,0,NA,NA,0
24.70772,0.461,-48.158781,0.324,16.367,0.106,10,17.012,0.193,10,NA,NA,0,16.714,0.286,10,16.282,0.061,10,16.08,0.148,9,NA,NA,0,NA,NA,0
24.709178,0.189,-48.608656,0.154,15.033,0.031,10,15.78,0.085,10,NA,NA,0,15.414,0.235,10,14.861,0.046,10,14.736,0.297,10,NA,NA,0,NA,NA,0
24.712752,0.181,-48.383639,0.236,NA,NA,0,NA,NA,0,NA,NA,0,18.418,0.223,1,17.129,0.163,1,NA,NA,0,NA,NA,0,NA,NA,0
24.714685,0.179,-49.370905,0.153,15.17,0.025,6,16.633,0.178,6,NA,NA,0,15.873,0.055,6,14.584,0.041,6,13.843,0.062,6,NA,NA,0,NA,NA,0
24.716496,0.199,-48.338198,0.266,13.836,0.043,10,15.13,0.066,10,NA,NA,0,14.565,0.248,10,13.345,0.086,10,12.863,0.266,10,12.486,0.011,2,NA,NA,0
24.716564,0.386,-48.295114,0.294,NA,NA,0,NA,NA,0,NA,NA,0,18.135,0.095,4,17.418,0.085,4,NA,NA,0,NA,NA,0,NA,NA,0
24.717111,0.417,-48.325253,0.293,17.436,0.041,2,18.458,0.254,2,NA,NA,0,17.831,0.09,5,17.081,0.166,5,16.735,0.286,1,NA,NA,0,NA,NA,0
24.717117,0.276,-49.601735,0.27,16.888,0.076,4,17.849,0.302,4,NA,NA,0,17.352,0.104,5,16.474,0.04,5,16.012,0.118,5,NA,NA,0,NA,NA,0
24.717267,0.422,-48.576941,0.281,16.83,0.221,8,17.564,0.16,8,NA,NA,0,17.252,0.289,10,16.561,0.135,10,16.247,0.167,7,NA,NA,0,NA,NA,0
24.717533,0.687,-49.715844,0.329,16.393,0.246,8,17.276,0.226,8,NA,NA,0,16.727,0.072,7,16.047,0.169,7,15.686,0.093,6,NA,NA,0,NA,NA,0
24.717726,0.361,-49.541445,0.23,NA,NA,0,NA,NA,0,NA,NA,0,18.279,0.07,3,17.302,0.143,3,15.693,0.092,3,NA,NA,0,NA,NA,0
24.718375,0.31,-49.024964,0.182,14.865,0.037,6,15.555,0.046,6,NA,NA,0,15.188,0.058,6,14.706,0.028,6,14.556,0.035,6,NA,NA,0,NA,NA,0
24.718435,0.798,-49.461742,0.361,16.324,0.17,6,17.424,0.11,6,NA,NA,0,16.818,0.038,7,15.953,0.085,7,15.538,0.183,7,NA,NA,0,NA,NA,0
24.71978,0.627,-49.634988,0.266,15.674,0.192,8,16.603,0.048,8,NA,NA,0,16.08,0.034,8,15.394,0.223,8,15.009,0.07,7,NA,NA,0,NA,NA,0
24.720167,0.602,-49.785567,0.48,15.227,0.094,8,16.198,0.073,8,NA,NA,0,15.688,0.059,8,14.904,0.1,8,14.451,0.084,8,NA,NA,0,NA,NA,0
24.720761,0.266,-48.590772,0.204,13.983,0.032,10,14.6,0.05,10,NA,NA,0,14.308,0.248,10,13.853,0.045,10,13.792,0.237,10,13.818,0.235,1,NA,NA,0
24.720951,0.468,-48.47297,0.43,17.457,0.105,4,18.017,0.257,4,NA,NA,0,18.073,0.32,5,17.42,0.138,5,NA,NA,0,NA,NA,0,NA,NA,0
24.721232,0.333,-49.774527,0.461,NA,NA,0,NA,NA,0,NA,NA,0,18.497,0.185,1,17.553,0.206,1,NA,NA,0,NA,NA,0,NA,NA,0
24.721758,0.743,-48.271948,0.566,16.928,0.091,6,17.609,0.129,6,NA,NA,0,17.278,0.312,10,16.649,0.133,10,16.223,0.155,4,NA,NA,0,NA,NA,0
24.721894,0.6,-47.759954,0.425,17.182,0.163,2,17.869,0.208,2,NA,NA,0,17.511,0.29,6,17.068,0.12,6,16.478,0.243,1,NA,NA,0,NA,NA,0
24.722423,0.382,-48.377188,0.337,16.601,0.104,8,17.509,0.224,8,NA,NA,0,17.118,0.324,10,16.295,0.116,10,15.854,0.124,7,NA,NA,0,NA,NA,0
24.722443,0.283,-48.104227,0.324,NA,NA,0,NA,NA,0,NA,NA,0,18.429,0.015,3,17.171,0.141,3,15.737,0.091,2,NA,NA,0,NA,NA,0
24.722877,0.21,-48.962872,0.225,14.825,0.032,6,15.802,0.074,6,NA,NA,0,15.304,0.035,6,14.513,0.026,6,14.225,0.061,6,NA,NA,0,NA,NA,0
24.723022,1.077,-49.703094,0.663,16.645,0.18,7,17.437,0.107,7,NA,NA,0,16.937,0.132,8,16.39,0.136,8,16.107,0.159,5,NA,NA,0,NA,NA,0
24.724502,0.124,-48.034674,0.199,13.252,0.053,10,13.928,0.061,10,NA,NA,0,13.606,0.244,10,13.136,0.072,10,13.089,0.261,10,12.766,0.087,1,NA,NA,0
24.724598,0.52,-49.368139,0.148,11.74,0.194,8,12.265,0.025,8,NA,NA,0,11.943,0.056,8,11.604,0.21,8,11.421,0.085,7,11.378,0.035,2,NA,NA,0
24.725196,0.443,-47.861327,0.312,17.129,0.112,4,17.733,0.079,4,NA,NA,0,17.486,0.158,7,16.589,0.06,7,16.355,0.086,6,NA,NA,0,NA,NA,0
24.725913,0.46,-49.690992,0.383,16.561,0.218,8,17.517,0.189,8,NA,NA,0,17.07,0.062,7,16.223,0.1,7,15.838,0.09,6,NA,NA,0,NA,NA,0
24.72938,0.302,-48.84579,0.238,13.761,0.033,10,14.483,0.06,10,NA,NA,0,14.141,0.242,10,13.601,0.052,10,13.506,0.262,10,13.593,0.205,1,NA,NA,0
